QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI
com.serotonin.mango.rt.dataSource.onewire.Network,Network,low-medium,low,low-medium,medium-high,3,38,18,1,0,43,163,157,1,1,15,0,0,0.571,0.72,0.872,1,0
com.serotonin.mango.rt.dataSource.openv4j.OpenV4JDataSourceRT,OpenV4JDataSourceRT,high,low-medium,low-medium,medium-high,9,151,24,3,0,28,109,101,1,3,7,0,0,0.625,0.714,1,5,0
com.serotonin.mango.rt.dataSource.ebro.EBI25DataSourceRT,EBI25DataSourceRT,high,low-medium,low-medium,medium-high,8,151,22,3,0,22,101,84,1,1,7,0,0,0.625,0.75,0.8,4,0
com.serotonin.mango.rt.dataImage.PointValueTime,PointValueTime,low-medium,low,low,medium-high,5,20,5,1,2,22,48,44,2,1,14,2,0,0.625,0.799,0.742,0,0
com.serotonin.mango.web.dwr.beans.CustomComponentState,CustomComponentState,low,low,low,medium-high,0,10,1,1,0,12,29,25,3,0,9,0,0,0.667,0.711,0.667,0,0
com.serotonin.mango.rt.dataSource.mbus.MBusDataSourceRT,MBusDataSourceRT,low-medium,low-medium,low-medium,medium-high,6,60,14,3,0,24,97,89,1,3,7,0,0,0.667,0.714,1,3,0
com.serotonin.mango.vo.dataSource.virtual.RandomAnalogChangeVO,RandomAnalogChangeVO,low-medium,low,low,medium-high,4,20,8,2,0,11,46,34,2,2,10,0,0,0.679,0.717,0.607,0,0
com.serotonin.mango.vo.dataSource.virtual.IncrementMultistateChangeVO,IncrementMultistateChangeVO,low-medium,low,low,medium-high,4,26,14,2,0,12,46,36,2,2,10,0,0,0.679,0.757,0.607,0,0
com.serotonin.mango.rt.dataSource.sql.SqlDataSourceRT,SqlDataSourceRT,very-high,medium-high,low-medium,medium-high,15,201,72,3,0,59,193,187,2,2,9,0,0,0.688,0.759,0.333,6,0
com.serotonin.mango.view.stats.StartsAndRuntimeList,StartsAndRuntimeList,low-medium,low-medium,low-medium,medium-high,6,27,15,1,0,27,103,96,6,0,13,1,0,0.688,0.768,0.769,1,0
com.serotonin.mango.vo.dataSource.galil.VariablePointTypeVO,VariablePointTypeVO,low-medium,low-medium,low-medium,medium-high,6,27,9,2,0,13,65,40,2,2,12,0,0,0.688,0.792,0.667,0,0
com.serotonin.mango.vo.dataSource.virtual.BrownianChangeVO,BrownianChangeVO,low-medium,low,low-medium,medium-high,4,22,8,2,0,13,56,42,3,2,12,0,0,0.689,0.722,0.644,0,0
com.serotonin.mango.vo.dataSource.spinwave.BaseSpinwavePointLocatorVO,BaseSpinwavePointLocatorVO,low-medium,low,low-medium,medium-high,3,23,8,2,2,14,57,41,3,2,13,0,0,0.689,0.769,0.709,0,0
com.serotonin.mango.vo.dataSource.http.HttpReceiverPointLocatorVO,HttpReceiverPointLocatorVO,low-medium,low,low-medium,medium-high,3,28,7,2,0,14,64,43,3,2,13,0,0,0.689,0.788,0.709,0,0
com.serotonin.mango.rt.dataImage.types.BinaryValue,BinaryValue,low-medium,low,low-medium,medium-high,1,19,5,2,0,28,63,59,1,2,14,1,0,0.704,0.778,0.657,0,0
com.serotonin.mango.vo.dataSource.vmstat.VMStatPointLocatorVO,VMStatPointLocatorVO,low-medium,low,low-medium,medium-high,5,21,6,2,0,11,87,28,1,3,10,0,0,0.708,0.757,0.643,0,0
com.serotonin.mango.vo.dataSource.virtual.IncrementAnalogChangeVO,IncrementAnalogChangeVO,low-medium,low,low-medium,medium-high,4,28,12,2,0,15,66,50,4,2,14,0,0,0.712,0.765,0.682,0,0
com.serotonin.mango.vo.dataSource.nmea.NmeaPointLocatorVO,NmeaPointLocatorVO,low-medium,low,low-medium,medium-high,3,31,8,2,0,16,72,49,4,2,15,0,0,0.712,0.792,0.731,0,0
com.serotonin.mango.web.dwr.beans.SpinwaveSensorListener,SpinwaveSensorListener,low,low,low,medium-high,1,14,4,1,0,11,44,36,4,0,9,0,0,0.714,0.714,0.464,0,0
com.serotonin.mango.rt.dataSource.snmp.SnmpDataSourceRT,SnmpDataSourceRT,high,low-medium,low-medium,medium-high,9,172,38,3,0,26,145,104,3,2,10,0,0,0.714,0.717,0.5,5,0
com.serotonin.mango.view.graphic.ImageSetRenderer,ImageSetRenderer,low-medium,low,low,medium-high,4,24,11,2,3,13,35,29,2,2,12,0,0,0.722,0.764,0.511,1,0
com.serotonin.mango.rt.dataSource.onewire.OneWireDataSourceRT,OneWireDataSourceRT,high,medium-high,low-medium,medium-high,12,174,35,3,0,38,235,142,3,3,10,0,0,0.722,0.775,0.8,6,0
com.serotonin.mango.vo.dataSource.sql.SqlPointLocatorVO,SqlPointLocatorVO,low-medium,low,low-medium,medium-high,3,30,7,2,0,17,78,55,4,2,15,0,0,0.722,0.792,0.679,0,0
com.serotonin.mango.view.custom.CustomView,CustomView,low,low-medium,low,medium-high,6,34,7,1,0,9,27,23,3,0,6,0,0,0.733,0.708,0.6,2,0
com.serotonin.mango.vo.dataSource.virtual.RandomMultistateChangeVO,RandomMultistateChangeVO,low-medium,low,low,medium-high,4,20,10,2,0,10,38,28,1,2,8,0,0,0.733,0.708,0.6,0,0
com.serotonin.mango.vo.dataSource.galil.OutputPointTypeVO,OutputPointTypeVO,low-medium,low,low,medium-high,5,16,4,2,0,11,43,30,1,2,10,0,0,0.733,0.733,0.786,0,0
com.serotonin.mango.rt.dataSource.jmx.JmxDataSourceRT,JmxDataSourceRT,high,low-medium,low-medium,medium-high,8,188,50,3,0,42,167,159,3,3,9,0,0,0.733,0.764,1,6,0
com.serotonin.mango.vo.dataSource.onewire.OneWirePointLocatorVO,OneWirePointLocatorVO,low-medium,low,low-medium,medium-high,5,32,12,2,0,31,113,72,3,3,16,2,0,0.738,0.799,0.6,0,0
com.serotonin.mango.vo.dataSource.virtual.AnalogAttractorChangeVO,AnalogAttractorChangeVO,low-medium,low-medium,low-medium,medium-high,6,41,14,2,0,17,78,56,3,2,14,0,0,0.745,0.795,0.745,1,0
com.serotonin.mango.rt.dataSource.nmea.NmeaDataSourceRT,NmeaDataSourceRT,high,medium-high,low-medium,medium-high,11,172,29,3,0,24,80,73,2,2,11,0,0,0.75,0.727,0.933,5,0
com.serotonin.mango.view.component.ImageSetComponent,ImageSetComponent,low-medium,low,low-medium,medium-high,4,36,13,3,3,26,79,59,2,2,16,0,0,0.75,0.786,0.495,1,0
com.serotonin.mango.vo.report.ReportPointVO,ReportPointVO,low,low,low,medium-high,0,12,4,1,0,10,33,27,3,2,8,0,0,0.771,0.729,0.8,0,0
com.serotonin.mango.vo.dataSource.openv4j.OpenV4JDataSourceVO,OpenV4JDataSourceVO,low-medium,low-medium,low-medium,medium-high,7,38,9,2,0,18,127,69,3,3,16,0,0,0.773,0.797,0.909,0,0
com.serotonin.mango.vo.dataSource.http.HttpReceiverDataSourceVO,HttpReceiverDataSourceVO,low-medium,low-medium,low-medium,medium-high,6,22,8,2,0,17,79,47,2,3,13,0,0,0.775,0.731,0.929,0,0
com.serotonin.mango.view.graphic.AnalogImageSetRenderer,AnalogImageSetRenderer,low-medium,low,low,medium-high,3,21,9,3,0,16,44,36,2,3,8,1,0,0.775,0.762,0.619,2,0
com.serotonin.mango.view.graphic.BinaryImageSetRenderer,BinaryImageSetRenderer,low-medium,low,low,medium-high,3,17,6,3,0,13,37,29,2,3,8,1,0,0.775,0.762,0.619,2,0
com.serotonin.mango.view.graphic.MultistateImageSetRenderer,MultistateImageSetRenderer,low-medium,low,low-medium,medium-high,3,28,16,3,0,23,66,58,2,3,8,1,0,0.775,0.778,0.619,2,0
com.serotonin.mango.view.stats.AnalogStatistics,AnalogStatistics,low-medium,low,low-medium,medium-high,3,24,9,1,0,33,112,98,13,0,17,1,0,0.775,0.778,0.745,0,0
com.serotonin.mango.vo.dataSource.persistent.PersistentPointLocatorVO,PersistentPointLocatorVO,low-medium,low,low,medium-high,2,10,2,2,0,9,29,19,1,2,8,0,0,0.778,0.708,0.933,0,0
com.serotonin.mango.vo.dataSource.internal.InternalDataSourceVO,InternalDataSourceVO,low-medium,low-medium,low-medium,medium-high,6,34,6,2,0,15,66,42,2,3,14,0,0,0.778,0.765,0.889,0,0
com.serotonin.mango.vo.dataSource.virtual.VirtualDataSourceVO,VirtualDataSourceVO,low-medium,low-medium,low-medium,medium-high,7,34,6,2,0,16,69,45,2,3,14,0,0,0.778,0.765,0.889,0,0
com.serotonin.mango.vo.dataSource.galil.InputPointTypeVO,InputPointTypeVO,low-medium,low-medium,low-medium,medium-high,6,38,12,2,0,21,114,72,6,3,20,0,0,0.799,0.8,0.771,0,0
com.serotonin.mango.vo.report.DiscreteTimeSeries,DiscreteTimeSeries,low,low,low-medium,medium-high,3,19,11,1,0,14,55,36,5,0,9,0,0,0.8,0.73,0.722,2,0
com.serotonin.mango.vo.dataSource.internal.InternalPointLocatorVO,InternalPointLocatorVO,low-medium,low,low-medium,medium-high,5,21,6,2,0,11,80,28,1,4,10,0,0,0.8,0.757,0.643,0,0
com.serotonin.mango.view.component.MultistateGraphicComponent,MultistateGraphicComponent,medium-high,low,low-medium,medium-high,3,40,20,4,0,25,108,66,2,3,9,0,0,0.8,0.762,0.571,1,0
com.serotonin.mango.view.component.SimplePointComponent,SimplePointComponent,low-medium,low,low,medium-high,2,14,5,3,0,12,43,33,2,3,9,0,0,0.8,0.762,0.714,0,0
com.serotonin.mango.rt.dataSource.modbus.ModbusDataSource,ModbusDataSource,very-high,medium-high,low-medium,medium-high,14,251,56,3,2,50,215,177,2,3,9,0,1,0.8,0.728,0.81,8,0.333
com.serotonin.mango.view.text.BinaryTextRenderer,BinaryTextRenderer,low-medium,low,low-medium,medium-high,3,23,6,2,0,26,77,63,4,3,18,1,2,0.8,0.759,0.762,1,0.222
com.serotonin.mango.view.text.PlainRenderer,PlainRenderer,low-medium,low,low,medium-high,3,18,6,2,0,18,45,37,1,3,12,1,1,0.806,0.731,0.679,1,0.167
com.serotonin.mango.rt.event.compound.CompoundEventDetectorRT,CompoundEventDetectorRT,medium-high,medium-high,low-medium,medium-high,15,72,34,1,0,51,139,121,4,2,8,4,0,0.81,0.74,0.714,1,0
com.serotonin.mango.web.dwr.beans.BACnetDiscovery,BACnetDiscovery,low,low,low-medium,medium-high,1,16,7,1,0,17,196,89,8,0,9,0,0,0.813,0.714,0,0,0
com.serotonin.mango.view.chart.ImageFlipbookRenderer,ImageFlipbookRenderer,low-medium,low-medium,low,medium-high,6,36,8,2,0,12,32,24,1,3,9,1,0,0.813,0.733,0.679,2,0
com.serotonin.mango.view.chart.TableChartRenderer,TableChartRenderer,low-medium,low-medium,low,medium-high,6,36,8,2,0,12,32,24,1,3,9,1,0,0.813,0.733,0.679,2,0
com.serotonin.mango.view.chart.StatisticsChartRenderer,StatisticsChartRenderer,low-medium,low-medium,low-medium,medium-high,9,62,31,3,0,22,66,57,1,3,9,1,0,0.813,0.757,0.679,5,0
com.serotonin.mango.view.text.MultistateRenderer,MultistateRenderer,low-medium,low,low-medium,medium-high,4,24,14,2,0,21,57,49,1,3,12,1,2,0.813,0.736,0.786,2,0.333
com.serotonin.mango.vo.dataSource.nmea.NmeaDataSourceVO,NmeaDataSourceVO,low-medium,low-medium,low-medium,medium-high,6,22,6,2,0,17,79,54,3,4,15,0,0,0.818,0.771,0.933,0,0
com.serotonin.mango.vo.dataSource.viconics.ViconicsPointLocatorVO,ViconicsPointLocatorVO,low-medium,low,low-medium,medium-high,2,21,6,2,0,16,54,41,5,2,15,0,0,0.818,0.792,0.936,0,0
com.serotonin.mango.rt.dataSource.jmx.JmxPointLocatorRT,JmxPointLocatorRT,low-medium,low,low,medium-high,2,27,10,2,0,20,44,38,3,1,10,1,0,0.825,0.742,0.745,1,0
com.serotonin.mango.vo.dataSource.http.HttpRetrieverDataSourceVO,HttpRetrieverDataSourceVO,low-medium,low-medium,low-medium,medium-high,6,43,10,2,0,21,112,72,5,4,20,0,0,0.826,0.8,0.933,0,0
com.serotonin.mango.vo.dataSource.pachube.PachubeDataSourceVO,PachubeDataSourceVO,low-medium,low-medium,low-medium,medium-high,6,43,10,2,0,21,115,74,5,4,20,0,0,0.826,0.8,0.933,0,0
com.serotonin.mango.vo.dataSource.pop3.Pop3DataSourceVO,Pop3DataSourceVO,low-medium,low-medium,low-medium,medium-high,6,42,9,2,0,21,111,70,5,4,20,0,0,0.826,0.8,0.933,0,0
com.serotonin.mango.vo.dataSource.meta.MetaPointLocatorVO,MetaPointLocatorVO,low-medium,low-medium,low-medium,medium-high,6,53,29,2,0,37,206,125,6,5,21,0,0,0.829,0.798,0.743,1,0
br.org.scadabr.vo.dataSource.dnp3.Dnp3DataSourceVO<T>,Dnp3DataSourceVO,low-medium,low-medium,low-medium,medium-high,6,46,11,2,2,26,148,92,8,3,25,0,0,0.831,0.785,0.942,0,0
com.serotonin.mango.vo.dataSource.persistent.PersistentDataSourceVO,PersistentDataSourceVO,low-medium,low-medium,low-medium,medium-high,6,25,9,2,0,17,75,53,3,4,15,0,0,0.831,0.8,0.933,0,0
com.serotonin.mango.rt.dataSource.DataSourceRT,DataSourceRT,low-medium,low-medium,low-medium,medium-high,9,59,12,1,3,17,56,35,5,1,14,0,0,0.833,0.745,0.894,2,0
com.serotonin.mango.vo.publish.pachube.PachubeSenderVO,PachubeSenderVO,low-medium,low-medium,low-medium,medium-high,9,17,4,2,0,14,69,39,3,3,13,0,0,0.833,0.756,0.917,0,0
com.serotonin.mango.vo.dataSource.http.HttpImageDataSourceVO,HttpImageDataSourceVO,low-medium,low-medium,low-medium,medium-high,6,34,7,2,0,15,75,46,2,4,14,0,0,0.833,0.765,0.889,0,0
com.serotonin.mango.vo.dataSource.virtual.ChangeTypeVO,ChangeTypeVO,low,medium-high,low-medium,medium-high,14,21,7,1,9,15,74,43,1,3,9,1,0,0.833,0.775,0.786,0,0
com.serotonin.mango.vo.event.CompoundEventDetectorVO,CompoundEventDetectorVO,low-medium,low-medium,low-medium,medium-high,7,33,7,1,0,21,109,56,7,1,21,0,0,0.833,0.782,0.762,0,0
br.org.scadabr.vo.dataSource.dnp3.Dnp3IpDataSourceVO,Dnp3IpDataSourceVO,low-medium,low,low,medium-high,3,27,3,3,0,11,50,28,2,3,10,0,0,0.833,0.787,0.905,0,0
br.org.scadabr.vo.dataSource.dnp3.Dnp3SerialDataSourceVO,Dnp3SerialDataSourceVO,low-medium,low,low,medium-high,3,27,3,3,0,11,50,28,2,3,10,0,0,0.833,0.787,0.905,0,0
com.serotonin.mango.rt.dataImage.AnnotatedPointValueTime,AnnotatedPointValueTime,low-medium,low,low,medium-high,2,9,2,2,0,13,36,31,3,1,8,0,1,0.833,0.729,0.75,0,0.25
com.serotonin.mango.rt.dataSource.galil.GalilDataSourceRT,GalilDataSourceRT,high,medium-high,low-medium,medium-high,12,166,31,3,0,35,155,134,2,4,10,0,1,0.833,0.743,0.524,5,0.3
com.serotonin.mango.view.text.TimeRenderer,TimeRenderer,low-medium,low,low-medium,medium-high,3,22,10,2,0,19,57,46,3,3,14,1,1,0.833,0.752,0.778,1,0.143
com.serotonin.mango.vo.dataSource.onewire.OneWireDataSourceVO,OneWireDataSourceVO,low-medium,low-medium,low-medium,medium-high,7,42,12,2,0,28,146,95,5,6,20,0,0,0.835,0.8,0.914,0,0
com.serotonin.mango.vo.dataSource.vmstat.VMStatDataSourceVO,VMStatDataSourceVO,low-medium,low-medium,low-medium,medium-high,8,21,7,2,0,14,81,45,2,5,13,0,0,0.841,0.731,0.929,0,0
com.serotonin.mango.vo.dataSource.modbus.ModbusDataSourceVO<T>,ModbusDataSourceVO,low-medium,low-medium,low-medium,medium-high,6,54,13,2,2,35,222,172,10,3,28,0,0,0.846,0.799,0.953,0,0
com.serotonin.mango.view.text.AnalogRenderer,AnalogRenderer,low-medium,low,low-medium,medium-high,3,20,7,2,0,19,55,44,3,3,14,1,2,0.848,0.762,0.727,1,0.286
com.serotonin.mango.view.component.ThumbnailComponent,ThumbnailComponent,low-medium,low,low,medium-high,3,12,5,3,0,11,36,28,1,3,7,0,0,0.85,0.714,0.7,1,0
com.serotonin.mango.view.component.HtmlComponent,HtmlComponent,low-medium,low,low,medium-high,2,12,2,2,0,11,34,27,1,3,10,0,0,0.85,0.771,0.893,0,0
com.serotonin.mango.web.dwr.beans.EBI25InterfaceReader,EBI25InterfaceReader,high,medium-high,low-medium,medium-high,14,188,64,1,0,32,188,151,9,0,13,0,0,0.859,0.795,0.844,6,0
com.serotonin.mango.view.text.RangeRenderer,RangeRenderer,low-medium,low,low-medium,medium-high,4,28,15,2,0,26,70,59,3,3,16,1,2,0.864,0.772,0.879,2,0.25
com.serotonin.mango.vo.link.PointLinkVO,PointLinkVO,low-medium,low,low-medium,medium-high,5,43,11,1,0,21,112,67,7,4,19,0,0,0.877,0.774,0.743,1,0
com.serotonin.mango.vo.WatchList,WatchList,low,low,low-medium,medium-high,4,24,8,1,0,18,90,41,6,1,13,0,0,0.881,0.744,0.782,3,0
com.serotonin.mango.view.component.ImageChartComponent,ImageChartComponent,low-medium,low,low-medium,medium-high,4,55,9,3,0,19,97,63,4,13,18,0,0,0.882,0.759,0.857,0,0
com.serotonin.mango.web.dwr.longPoll.LongPollState,LongPollState,low-medium,low,low-medium,medium-high,4,23,4,1,0,24,60,51,7,1,20,0,0,0.882,0.787,0.904,2,0
com.serotonin.mango.view.chart.ImageChartRenderer,ImageChartRenderer,low-medium,low,low,medium-high,2,11,3,3,0,8,20,14,0,3,7,1,0,0.889,0.729,0.8,1,0
com.serotonin.mango.view.text.BaseTextRenderer,BaseTextRenderer,low-medium,low-medium,low-medium,medium-high,10,41,25,1,7,33,113,74,0,3,20,3,0,0.889,0.791,0.993,9,0
com.serotonin.mango.view.component.ScriptComponent,ScriptComponent,low-medium,low-medium,low-medium,medium-high,7,39,16,3,0,11,56,46,1,5,7,0,0,0.9,0.714,0.7,1,0
com.serotonin.mango.vo.mailingList.MailingList,MailingList,low-medium,low,low-medium,medium-high,0,17,1,2,0,17,70,39,5,1,16,0,2,0.905,0.76,0.883,0,0.25
com.serotonin.mango.web.dwr.beans.BACnetObjectBean,BACnetObjectBean,low-medium,low,low-medium,medium-high,0,21,4,1,0,34,65,56,8,0,17,0,0,0.914,0.706,0.897,0,0
com.serotonin.mango.vo.report.ReportPointInfo,ReportPointInfo,low,low,low,medium-high,2,17,0,1,0,17,43,34,8,0,17,0,0,0.922,0.755,0.912,0,0
com.serotonin.mango.rt.event.type.AuditEventType,AuditEventType,medium-high,low-medium,low-medium,medium-high,10,71,31,2,0,55,199,161,3,11,13,21,1,0.923,0.746,0.948,2,0.154
com.serotonin.mango.view.PointView,PointView,low-medium,low,low-medium,medium-high,3,30,5,1,0,27,67,55,10,0,25,0,0,0.925,0.76,0.893,1,0
com.serotonin.mango.vo.publish.persistent.PersistentPointVO,PersistentPointVO,low-medium,low,low,medium-high,0,10,2,2,0,9,24,17,3,2,8,0,0,0.933,0.729,0.8,0,0
com.serotonin.mango.vo.publish.persistent.PersistentSenderVO,PersistentSenderVO,low-medium,low-medium,low-medium,medium-high,8,30,7,2,0,20,126,74,5,8,18,0,0,0.935,0.786,0.923,0,0
com.serotonin.mango.vo.report.ReportChartCreator,ReportChartCreator,low-medium,medium-high,medium-high,medium-high,13,86,25,1,0,30,320,99,10,6,10,0,0,0.938,0.75,0.8,5,0
com.serotonin.mango.rt.event.type.SystemEventType,SystemEventType,low-medium,low-medium,low-medium,medium-high,8,70,14,2,0,27,121,84,3,13,14,5,1,0.938,0.774,0.797,1,0.143
com.serotonin.mango.rt.dataSource.viconics.ViconicsDataSourceRT,ViconicsDataSourceRT,high,low-medium,low-medium,medium-high,10,160,28,3,0,22,281,85,3,5,11,0,2,0.953,0.761,0.855,6,0.545
com.serotonin.mango.db.dao.PointValueDao,PointValueDao,medium-high,medium-high,medium-high,medium-high,16,82,52,2,0,83,408,258,0,8,33,0,0,0.958,0.79,0.935,4,0
com.serotonin.mango.view.component.SimpleCompoundComponent,SimpleCompoundComponent,low-medium,low,low-medium,medium-high,3,32,12,3,0,14,76,57,1,14,13,0,0,0.967,0.738,0.972,0,0
com.serotonin.mango.vo.report.ReportVO,ReportVO,medium-high,low,very-high,medium-high,2,76,9,1,0,75,405,362,32,10,67,1,0,0.967,0.784,0.975,0,0
com.serotonin.mango.vo.event.ScheduledEventVO,ScheduledEventVO,medium-high,low-medium,very-high,medium-high,7,66,11,2,0,68,343,139,21,11,52,1,0,0.969,0.787,0.926,0,0
com.serotonin.mango.vo.event.MaintenanceEventVO,MaintenanceEventVO,medium-high,low-medium,very-high,medium-high,6,70,10,1,0,71,340,145,24,12,56,0,0,0.974,0.786,0.934,0,0
com.serotonin.mango.db.dao.ReportDao,ReportDao,low-medium,medium-high,medium-high,medium-high,18,75,43,2,0,40,344,258,0,12,18,0,0,0.977,0.783,0.962,6,0
com.serotonin.mango.web.dwr.BaseDwr,BaseDwr,medium-high,high,low-medium,medium-high,21,119,39,1,20,32,162,116,2,4,12,1,0,1,0.748,0.9,4,0
com.serotonin.mango.web.dwr.MiscDwr,MiscDwr,high,high,medium-high,medium-high,22,200,99,2,0,82,306,255,4,2,18,2,0,1,0.783,1,10,0
com.serotonin.mango.rt.publish.persistent.PersistentSenderRT,PersistentSenderRT,low-medium,medium-high,medium-high,medium-high,13,78,18,2,0,10,407,38,7,5,7,0,0,1.167,0.735,0,6,0
com.serotonin.mango.rt.dataSource.galil.GalilPointLocatorRT,GalilPointLocatorRT,low-medium,low,low,low-medium,3,15,5,2,0,7,17,15,1,0,7,0,0,0,0.607,0,0,0
com.serotonin.mango.rt.event.compound.NotOperator,NotOperator,low-medium,low,low,low-medium,1,12,5,2,0,7,22,20,1,0,7,0,0,0,0.607,0,0,0
com.serotonin.mango.rt.event.compound.Parenthesis,Parenthesis,low-medium,low,low,low-medium,1,12,5,2,0,7,22,20,1,0,7,0,0,0,0.607,0,0,0
com.serotonin.mango.rt.event.type.EventType,EventType,low,low,low-medium,low-medium,2,17,3,1,8,12,115,21,0,1,12,0,0,0,0.611,1,0,0
com.serotonin.mango.rt.dataSource.meta.AlphanumericPointWrapper,AlphanumericPointWrapper,low-medium,low-medium,low,low-medium,6,21,13,2,0,14,40,39,0,0,12,0,0,0,0.617,0,2,0
com.serotonin.mango.rt.dataSource.meta.NumericPointWrapper,NumericPointWrapper,low-medium,low-medium,low,low-medium,6,22,13,2,0,14,41,40,0,0,12,0,0,0,0.617,0,1,0
com.serotonin.mango.db.DatabaseAccess,DatabaseAccess,low-medium,low-medium,low-medium,low-medium,8,70,25,1,2,16,104,55,0,0,9,1,0,0,0.625,0,0,0
com.serotonin.mango.db.dao.PublisherDao,PublisherDao,low-medium,low,low,low-medium,2,15,7,2,0,9,46,31,0,1,8,0,0,0,0.625,0.893,1,0
com.serotonin.mango.web.dwr.DataSourceEditDwr,DataSourceEditDwr,very-high,very-high,high,low-medium,42,371,120,3,0,103,1425,441,0,0,48,0,0,0,0.642,0,12,0
com.serotonin.mango.db.dao.BaseDao,BaseDao,low,low,low,low-medium,3,12,6,1,16,10,22,21,0,0,5,2,0,0,0.643,0,0,0
com.serotonin.mango.rt.dataSource.http.HttpReceiverDataSourceRT,HttpReceiverDataSourceRT,high,medium-high,low,low-medium,13,154,22,3,0,14,43,40,1,0,7,0,0,0,0.643,0.857,7,0
com.serotonin.mango.rt.dataSource.http.HttpImageDataSourceRT,HttpImageDataSourceRT,low-medium,low,low-medium,low-medium,5,56,9,3,0,15,129,52,0,2,3,1,0,0,0.656,1,1,0
com.serotonin.mango.vo.mailingList.AddressEntry,AddressEntry,low-medium,low,low,low-medium,0,16,3,2,0,8,35,23,1,0,8,0,0,0,0.656,0.464,0,0
com.serotonin.mango.util.test.DummyServletContext,DummyServletContext,low-medium,low,low-medium,low-medium,0,24,3,1,0,21,74,60,1,0,21,0,0,0,0.657,0.986,0,0
com.serotonin.mango.web.taglib.Functions,Functions,low,low-medium,low-medium,low-medium,7,27,17,1,0,20,51,50,0,0,0,13,0,0,0.663,0,2,0
com.serotonin.mango.rt.dataImage.IDataPoint,IDataPoint,low,low,low,low-medium,2,9,0,1,2,9,10,9,0,0,9,0,0,0,0.667,0,0,0
com.serotonin.mango.vo.dataSource.galil.CommandPointTypeVO,CommandPointTypeVO,low-medium,low,low,low-medium,4,10,2,2,0,9,30,21,0,2,8,0,0,0,0.675,1,0,0
com.serotonin.mango.web.dwr.WatchListDwr,WatchListDwr,medium-high,medium-high,low-medium,low-medium,17,119,61,2,0,54,241,197,0,0,17,0,0,0,0.681,0,5,0
com.serotonin.mango.rt.event.type.MaintenanceEventType,MaintenanceEventType,low-medium,low,low,low-medium,4,21,5,2,0,15,48,42,1,0,11,0,0,0,0.682,0.618,1,0
com.serotonin.mango.web.dwr.DataPointEditDwr,DataPointEditDwr,medium-high,high,medium-high,low-medium,24,150,44,2,0,43,183,182,0,0,32,0,0,0,0.691,0,5,0
com.serotonin.mango.rt.event.detectors.PointEventDetectorRT,PointEventDetectorRT,low-medium,low-medium,low,low-medium,9,60,14,2,2,16,38,35,1,0,14,0,1,0,0.625,1,2,0.143
